scope,placement,ols_cost_error,weighted_cost_error,weighted_beats_ols_percent,intervals_with_energy_but_no_count,stranded_energy_percent
top3,whole event,0.0005509614102834348,0.0006995814072396911,-26.97466540892595,0,0.0
top3,both shared (this thesis),0.0012981067281288006,0.0009690981059080172,25.34526746464398,0,0.0
top3,energy only,7.923743823999816,7.923743823999807,1.1209075399560089e-13,434,7.9488144072971245
learnable,whole event,0.3881561525090625,0.35177210097681827,9.373560433618206,0,0.0
learnable,both shared (this thesis),0.49259171745891206,0.5730622833004351,-16.336158930287983,0,0.0
learnable,energy only,98.90282513048737,96.34704058138901,2.584137051420311,275,0.5998379839803577
